filename;group;amount;name;price
1.jpg;CALIFORNIA MAKI;10;ŁOSOŚ GRILL TOP MANGO;30
2.jpg;CALIFORNIA MAKI;10;GOLD ŁOSOŚ;35
3.jpg;CALIFORNIA MAKI;10;TUŃCZYK TOP AWOKADO;35
4.jpg;CALIFORNIA MAKI;10;KREWETKA TEMPURA TOP MANGO;30
5.jpg;CALIFORNIA MAKI;10;KREWETKA TEMPURA TOP TATAR ŁOSOŚ;35
6.jpg;CALIFORNIA MAKI;10;MAŚLANA GRILL TOP AWOKADO;35
7.jpg;CALIFORNIA MAKI;10;ŁOSOŚ TOP AWOKADO;35
8.jpg;CALIFORNIA MAKI;10;TUŃCZYK TEMPURA;30
9.jpg;CALIFORNIA MAKI;10;TUŃCZYK ŚWIEŻY;30
10.jpg;CALIFORNIA MAKI;10;KREWETKA TEMPURA;25
11.jpg;CALIFORNIA MAKI;10;ŁOSOŚ ŚWIEŻY;30
12.jpg;CALIFORNIA MAKI;10;ŁOSOŚ GRILL;25
13.jpg;FUTU MAKI;6;ŁOSOŚ ŚWIEŻY;25
14.jpg;FUTU MAKI;6;ŁOSOŚ TEMPURA;25
15.jpg;FUTU MAKI;6;TUŃCZYK ŚWIEŻY;30
16.jpg;FUTU MAKI;6;TUŃCZYK TEMPURA;25
17.jpg;FUTU MAKI;6;KREWETKA TEMPURA;25
18.jpg;FUTU MAKI;6;ŁOSOŚ GRILL;25
19.jpg;FUTU MAKI;6;MAŚLANA GRILL;30
20.jpg;FUTU MAKI;6;TATAR Z ŁOSOSIA;20
21.jpg;FUTU MAKI;6;MIX WARZYW TEMPURA;15
22.jpg;HOSO MAKI;8;ŁOSOŚ ŚWIEŻY;15
23.jpg;HOSO MAKI;8;TUŃCZYK ŚWIEŻY;10
24.jpg;HOSO MAKI;8;KREWETKA TEMPURA;15
25.jpg;HOSO MAKI;8;ŁOSOŚ GRILL;10
26.jpg;HOSO MAKI;8;AWOKADO;12
27.jpg;HOSO MAKI;8;KANPYO;10
28.jpg;HOSO MAKI;8;RZEPA MARYNOWANA;10
29.jpg;HOSO MAKI;8;OGÓREK;10